name,manufacturer,msrp,nvme_slot_count,ethernet,photo,socket,form_factor,max_memory,memory_slots,color
Asus ROG MAXIMUS Z790 HERO,Asus ,529.99,,,,LGA1700,ATX,192,4,Black
ASRock B450M Steel Legend,ASRock ,89.99,,,,AM4,Micro ATX,64,4,Black / White
Gigabyte Z790 AORUS ELITE X AX,Gigabyte ,229.99,,,,LGA1700,ATX,192,4,Black
MSI MPG B650 EDGE WIFI,MSI ,227.99,,,,AM5,ATX,192,4,Black / Silver
Asus PRIME X670E-PRO WIFI,Asus ,299.76,,,,AM5,ATX,192,4,Silver / Black
ASRock B650 LiveMixer,ASRock ,138.99,,,,AM5,ATX,192,4,Orange / Black
MSI PRO Z790-P WIFI DDR4,MSI ,201.19,,,,LGA1700,ATX,128,4,Black / Silver
Asus PRIME B650M-A WIFI II,Asus ,226.56,,,,AM5,Micro ATX,192,4,Black / Silver
Asus PRIME B550-PLUS AC-HES,Asus ,109.99,,,,AM4,ATX,128,4,Silver / Black
MSI PRO Z790-A WIFI,MSI ,219.99,,,,LGA1700,ATX,192,4,Black / Silver
Asus PRIME H510M-A WIFI,Asus ,109.99,,,,LGA1200,Micro ATX,64,2,Black / Silver
ASRock B760M PG SONIC WiFi,ASRock ,189.99,,,,LGA1700,Micro ATX,192,4,Blue / Silver
Asus TUF GAMING A620M-PLUS WIFI,Asus ,148.99,,,,AM5,Micro ATX,192,4,Black / Orange
ASRock B650 PRO RS,ASRock ,244.21,,,,AM5,ATX,192,4,Black / Silver
Gigabyte H610M S2H V2 DDR4,Gigabyte ,89.99,,,,LGA1700,Micro ATX,64,2,Black / Gray
Gigabyte B650I AX,Gigabyte ,,,,,AM5,Mini ITX,96,2,Black
Asus ROG STRIX Z790-I GAMING WIFI,Asus ,439.99,,,,LGA1700,Mini ITX,96,2,Black
MSI MAG B760 TOMAHAWK WIFI DDR4,MSI ,179.99,,,,LGA1700,ATX,128,4,Black
ASRock Fatal1ty B450 Gaming-ITX/ac,ASRock ,146.86,,,,AM4,Mini ITX,64,2,Black / Silver
Asus ROG STRIX Z790-F GAMING WIFI,Asus ,269.99,,,,LGA1700,ATX,192,4,Black
ASRock Z790 Lightning WiFi,ASRock ,159.99,,,,LGA1700,ATX,192,4,Silver / Black
Gigabyte X670E AORUS XTREME (rev. 1.0),Gigabyte ,649.99,,,,AM5,EATX,192,4,Black
ASRock B550M Steel Legend,ASRock ,115.98,,,,AM4,Micro ATX,128,4,Silver / Black
Asus PRIME Z790-V WIFI,Asus ,219.99,,,,LGA1700,ATX,192,4,Black / Silver
NZXT N7 B550,NZXT ,,,,,AM4,ATX,128,4,White / Black
Asus ROG STRIX B450-F GAMING,Asus ,,,,,AM4,ATX,128,4,Black
Gigabyte Z790M AORUS ELITE AX ICE,Gigabyte ,204.99,,,,LGA1700,Micro ATX,192,4,White / Silver
MSI B450M-A PRO MAX,MSI ,92.21,,,,AM4,Micro ATX,32,2,Black
Gigabyte Z790 UD AC,Gigabyte ,189.99,,,,LGA1700,ATX,192,4,Black
Asus ROG MAXIMUS Z790 APEX ENCORE,Asus ,869.47,,,,LGA1700,ATX,96,2,Black
ASRock B450M Pro4,ASRock ,,,,,AM4,Micro ATX,128,4,Black / Silver
ASRock B650 PG LIGHTNING,ASRock ,149.99,,,,AM5,ATX,192,4,Black
ASRock X670E Taichi,ASRock ,409.99,,,,AM5,EATX,192,4,Black
Gigabyte B760 AORUS ELITE AX,Gigabyte ,169.99,,,,LGA1700,ATX,192,4,Black
